,price,year,manufacturer,condition,odometer,type,group
3471,13495,2013.0,honda,good,137029.0,SUV,2
3472,19997,2017.0,chevrolet,like new,37554.0,SUV,3
3473,15995,2016.0,mazda,excellent,85712.0,SUV,1
3475,5495,2005.0,honda,excellent,129536.0,sedan,2
3476,2300,2002.0,toyota,good,201000.0,SUV,1
3486,6500,2006.0,ford,good,128536.0,pickup,2
3487,17995,2014.0,audi,excellent,79000.0,convertible,3
3490,6995,2007.0,honda,excellent,125000.0,mini-van,2
3492,15995,2011.0,bmw,excellent,44000.0,convertible,3
3493,14900,2007.0,toyota,good,115100.0,truck,1
3497,16000,1999.0,ford,excellent,500.0,truck,2
3498,1500,2003.0,chevrolet,fair,215000.0,truck,3
3504,2500,2006.0,mercedes-benz,excellent,116523.0,sedan,1
3505,4500,2004.0,jaguar,excellent,131341.0,sedan,2
3508,1350,2009.0,volkswagen,good,169000.0,hatchback,1
3511,4400,2012.0,subaru,excellent,136000.0,sedan,1
3515,5700,2008.0,toyota,good,211000.0,pickup,1
3516,6850,2005.0,chevrolet,fair,150000.0,pickup,3
3532,17500,2007.0,gmc,good,48000.0,truck,2
3533,3995,2009.0,pontiac,excellent,130000.0,hatchback,1
3546,22975,2016.0,volvo,excellent,58044.0,wagon,1
3547,16975,2011.0,volkswagen,excellent,50060.0,SUV,1
3548,14975,2011.0,volkswagen,excellent,74296.0,SUV,1
3549,7975,2014.0,volkswagen,excellent,75833.0,sedan,1
3550,12975,2015.0,volkswagen,excellent,63680.0,SUV,1
3551,15975,2017.0,volkswagen,excellent,65000.0,hatchback,1
3552,8975,2010.0,toyota,excellent,89492.0,SUV,1
3553,10975,2011.0,toyota,excellent,61232.0,SUV,1
3554,18975,2016.0,toyota,excellent,72101.0,SUV,1
3555,7975,2013.0,subaru,excellent,114617.0,sedan,1
3556,1975,2007.0,saturn,excellent,171700.0,sedan,1
3557,14975,2011.0,ram,excellent,77000.0,pickup,1
3559,17975,2014.0,infiniti,excellent,64611.0,sedan,2
3561,5975,2007.0,honda,excellent,150000.0,SUV,2
3562,4975,2007.0,honda,excellent,137370.0,mini-van,2
3563,3975,2008.0,honda,excellent,150922.0,hatchback,2
3564,6975,2012.0,honda,excellent,95324.0,sedan,2
3565,6975,2012.0,honda,excellent,135153.0,coupe,2
3566,9975,2015.0,volkswagen,excellent,79629.0,sedan,1
3567,6475,2011.0,chevrolet,excellent,81800.0,sedan,3
3568,9975,2011.0,bmw,excellent,92625.0,SUV,3
3569,11975,2013.0,bmw,excellent,112170.0,SUV,3
3571,17975,2011.0,audi,excellent,45380.0,SUV,3
3572,13975,2012.0,audi,excellent,121490.0,SUV,3
3573,29850,2017.0,audi,excellent,17500.0,sedan,3
3574,17975,2014.0,acura,excellent,102486.0,SUV,3
3575,8975,2015.0,volkswagen,excellent,64064.0,hatchback,1
3576,13975,2017.0,volkswagen,excellent,15648.0,sedan,1
3577,7998,2008.0,honda,good,161583.0,SUV,2
3578,12975,2008.0,toyota,excellent,123817.0,SUV,1
3580,12975,2010.0,jeep,excellent,97891.0,SUV,2
3581,13975,2015.0,honda,excellent,113164.0,SUV,2
3582,7975,2011.0,cadillac,excellent,98499.0,sedan,3
3583,19975,2017.0,audi,excellent,45510.0,SUV,3
3584,20975,2018.0,volkswagen,excellent,11602.0,hatchback,1
3585,8975,2011.0,subaru,excellent,83858.0,wagon,1
3586,5975,2003.0,jaguar,excellent,61097.0,sedan,2
3588,10975,2014.0,honda,excellent,70900.0,coupe,2
3589,9975,2013.0,bmw,excellent,129333.0,SUV,3
3590,14975,2015.0,audi,excellent,96602.0,SUV,3
3591,7975,2008.0,honda,excellent,125635.0,SUV,2
3592,6975,2009.0,honda,excellent,122049.0,sedan,2
3593,29990,2017.0,jeep,good,12735.0,wagon,2
3594,8975,2012.0,volkswagen,excellent,88264.0,wagon,1
3595,7975,2012.0,infiniti,excellent,128150.0,sedan,2
3596,10975,2012.0,mercedes-benz,excellent,51000.0,sedan,1
3598,8990,2014.0,toyota,good,69946.0,sedan,1
3600,20995,2016.0,nissan,like new,40417.0,pickup,1
3601,14995,2017.0,subaru,like new,53245.0,hatchback,1
3602,12995,2016.0,mazda,like new,29468.0,sedan,1
3603,16495,2017.0,nissan,like new,33414.0,SUV,1
3604,18495,2016.0,honda,like new,45620.0,SUV,2
3605,7995,2013.0,subaru,good,144634.0,wagon,1
3606,3000,2005.0,kia,excellent,218000.0,SUV,2
3607,21995,2016.0,nissan,like new,49474.0,pickup,1
3608,10990,2012.0,gmc,good,101955.0,truck,2
3609,6990,2010.0,honda,good,95000.0,sedan,2
3610,7990,2011.0,volvo,good,106670.0,sedan,1
3611,7990,2008.0,chevrolet,good,73094.0,wagon,3
3612,10990,2014.0,hyundai,good,16054.0,sedan,2
3613,6990,2015.0,kia,good,58457.0,sedan,2
3614,11990,2018.0,nissan,good,6552.0,sedan,1
3615,11990,2016.0,chevrolet,good,16240.0,sedan,3
3616,8990,2013.0,honda,good,130449.0,SUV,2
